spkt,spkid
-3.205999999999989,522
-3.2059666666666686,4126
-3.2059333333333333,2361
-3.2059333333333324,5461
-3.2059000000000015,5344
-3.2058666666666795,218
-3.2058333333333326,962
-3.205799999999954,5085
-3.205766666666669,2079
-3.2057666666666673,5360
-3.205699999999979,3756
-3.2056666666666658,3976
-3.2056333333333313,2699
-3.2056333333333313,3335
-3.2056333333333313,3375
-3.2056333333333313,3410
-3.205600000000004,1780
-3.2056000000000004,2685
-3.205599999999997,3136
-3.2055333333333316,4662
-3.2054333333333336,5353
-3.205433333333332,4632
-3.205399999999999,5490
-3.2053999999999974,2483
-3.2053999999999974,3429
-3.2053666666666647,4195
-3.2053333333333334,5119
-3.2053333333333285,1331
-3.2053333333333285,3536
-3.205300000000001,4891
-3.205233333333333,1888
-3.2052333333333323,3109
-3.205200000000005,2194
-3.205166666666667,2697
-3.205166666666665,4471
-3.2051666666666634,5211
-3.205133333333336,1224
-3.205133333333336,1774
-3.2051000000000016,2000
-3.2050999999999945,4266
-3.2050666666666636,4676
-3.2050333333333327,2117
-3.2050333333333327,5473
-3.2050333333333256,1268
-3.2049999999999983,3423
-3.2049333333333294,5419
-3.2049333333332015,4626
-3.204900000000009,821
-3.2048666666666676,2458
-3.204866666666664,4885
-3.204833333333333,1192
-3.204833333333333,1620
-3.204833333333333,3169
-3.204833333333333,4014
-3.204833333333333,5434
-3.2048333333333323,2797
-3.2048000000000005,1200
-3.2047999999999988,4473
-3.2047999999999917,2843
-3.204766666666666,1873
-3.204733333333337,2477
-3.2047000000000003,5102
-3.204699999999999,2440
-3.2046666666666663,2654
-3.204633333333332,956
-3.2045999999999992,3405
-3.204599999999985,2153
-3.2045666666666683,4862
-3.204566666666663,4478
-3.204533333333333,2645
-3.2045333333333303,5175
-3.2044999999999995,675
-3.204499999999996,2119
-3.204466666666667,3883
-3.204466666666665,1908
-3.2044666666666615,4250
-3.204433333333327,5567
-3.2043333333333335,81
-3.204266666666669,109
-3.2042666666666664,2363
-3.2042666666666655,3851
-3.2042666666666655,4682
-3.2042666666666655,5465
-3.2042666666666655,5481
-3.2042333333333346,4858
-3.204233333333333,3077
-3.2042,1243
-3.2041999999999984,5135
-3.2041333333333313,698
-3.2041333333333313,3345
-3.204133333333317,2561
-3.204099999999997,772
-3.2040666666666624,4210
-3.204033333333335,4126
-3.2040333333333337,5108
-3.2040000000000006,5377
-3.2039666666666666,2644
-3.203966666666666,3676
-3.2039333333333317,1919
-3.2039333333333317,1942
-3.2039333333333317,5509
-3.2039333333333246,3954
-3.203866666666663,3127
-3.2038666666666558,4643
-3.2038333333333284,4023
-3.203800000000001,968
-3.203799999999987,3198
-3.2037666666666667,2649
-3.2037666666666667,5511
-3.2036666666666704,2816
-3.203666666666665,5485
-3.2036666666666633,5448
-3.2036333333333324,4668
-3.2036000000000016,3655
-3.2035333333333327,2774
-3.2035333333333327,3185
-3.2035333333333256,1474
-3.2034999999999982,1265
-3.2034666666666674,5156
-3.2034333333334075,2598
-3.2034333333333334,5112
-3.203433333333333,2413
-3.203400000000002,259
-3.2034000000000002,106
-3.2033666666666676,1223
-3.2033666666666605,689
-3.203333333333333,2690
-3.203333333333333,4488
-3.2033333333333314,1197
-3.203300000000006,3174
-3.2032999999999987,3071
-3.2032999999999987,3356
