spkt,spkid
-3.2073666666666654,4022
-3.2073666666666583,2513
-3.207333333333331,3378
-3.2072666666666656,3073
-3.207266666666662,691
-3.2072333333333276,5525
-3.2072000000000003,3562
-3.2071999999999985,5161
-3.207199999999993,2756
-3.2071666666666667,76
-3.207166666666666,455
-3.2071666666666587,4252
-3.2071333333333314,4559
-3.207133333333317,803
-3.207099999999997,2268
-3.207066666666666,2397
-3.207033333333335,502
-3.2070333333333316,5475
-3.2070000000000007,1282
-3.2069666666666627,1938
-3.206933333333332,2713
-3.206933333333332,3338
-3.2069333333333248,2855
-3.206899999999999,5164
-3.2068999999999974,1281
-3.2068999999999974,3397
-3.2068666666666275,5582
-3.2068333333333356,3694
-3.206833333333333,1860
-3.206833333333332,3978
-3.2067999999999977,4004
-3.206766666666665,3371
-3.2067666666666526,4040
-3.206700000000005,2063
-3.206633333333343,3707
-3.206633333333329,2723
-3.2066000000000017,5521
-3.2065666666666672,464
-3.2065666666666672,2682
-3.20656666666666,4563
-3.206533333333333,4696
-3.2064333333333295,5516
-3.206400000000002,239
-3.2063999999999986,2681
-3.2063000000000024,4663
-3.206299999999999,1628
-3.206299999999999,2502
-3.206299999999999,3126
-3.20623333333333,4198
-3.206166666666661,1768
-3.2061333333333373,4500
-3.2061333333333337,2465
-3.2061333333333124,5231
-3.2060333333333375,2078
-3.206033333333332,5347
-3.2060333333333304,1329
-3.2060333333333304,2270
-3.2060333333333304,2728
-3.2060333333333233,3951
-3.2059999999999995,3653
-3.2059999999999995,3834
